,ISO3,year,GDP
0,ABW,1986,6283.00144344602
1,ABW,1987,7567.25364168664
2,ABW,1988,9274.51415613905
3,ABW,1989,10767.3962204623
4,ABW,1990,11638.7337057728
5,ABW,1991,12850.2157123975
6,ABW,1992,13657.6706444765
7,ABW,1993,14970.1523419526
8,ABW,1994,16675.2784883673
9,ABW,1995,17140.4333687405
10,ABW,1996,17375.2253063755
11,ABW,1997,18713.4253880988
12,ABW,1998,19742.3167386832
13,ABW,1999,19833.8267458639
14,ABW,2000,21026.1670909022
15,ABW,2001,20911.1927670907
16,ABW,2002,21375.269123446
17,ABW,2003,22050.589873287
18,ABW,2004,24105.5241207717
19,ABW,2005,24978.2216741187
20,ABW,2006,25832.9255649671
21,ABW,2007,27665.2994801174
22,ABW,2008,29011.6390567532
23,ABW,2009,25740.7702303087
24,ABW,2010,24452.5887394376
25,ABW,2011,26043.1563253011
26,ABW,2012,25611.1757666902
27,ABW,2013,26514.8689800777
28,ABW,2014,26940.2641144313
29,ABW,2015,28419.2645344661
30,ABW,2016,28449.7129463044
31,ABW,2017,29329.0817465959
32,ABW,2018,30918.483584133
33,ABW,2019,31902.8098183195
34,ABW,2020,24008.1278217477
35,ABW,2021,29127.7593841909
36,ABW,2022,33300.8388187011
37,AFE,1976,414.528671192314
38,AFE,1977,447.991456467679
39,AFE,1978,485.735417811276
40,AFE,1979,560.255376337016
41,AFE,1980,720.873961462158
42,AFE,1981,730.016186652255
43,AFE,1982,668.892753917337
44,AFE,1983,692.830691283746
45,AFE,1984,625.55554398587
46,AFE,1985,506.888719170314
47,AFE,1986,555.690303598709
48,AFE,1987,655.984420588768
49,AFE,1988,702.419892709639
50,AFE,1989,725.972854247284
51,AFE,1990,821.934122500015
52,AFE,1991,865.378497337895
53,AFE,1992,734.84273277218
54,AFE,1993,710.277369766819
55,AFE,1994,700.288765633615
56,AFE,1995,766.274538519064
57,AFE,1996,741.161601418837
58,AFE,1997,763.002790942932
59,AFE,1998,700.324230199142
60,AFE,1999,673.616731902486
61,AFE,2000,710.766724425918
62,AFE,2001,631.685474178607
63,AFE,2002,632.018107920115
64,AFE,2003,818.238214268486
65,AFE,2004,991.333063210714
66,AFE,2005,1126.53605787926
67,AFE,2006,1232.59859630087
68,AFE,2007,1376.83446158645
69,AFE,2008,1436.01254560482
70,AFE,2009,1407.27427465137
71,AFE,2010,1627.40988133821
72,AFE,2011,1763.27867224295
73,AFE,2012,1727.355803856
74,AFE,2013,1696.34288978916
75,AFE,2014,1678.55497740355
76,AFE,2015,1498.73823019655
77,AFE,2016,1346.15256443722
78,AFE,2017,1485.52259704758
79,AFE,2018,1558.30748213078
80,AFE,2019,1507.98288075295
81,AFE,2020,1355.80592347323
82,AFE,2021,1545.61321503478
83,AFE,2022,1644.06282870117
84,AFG,1961,62.4437034626929
85,AFG,1962,60.9503638210144
86,AFG,1963,82.0217375781519
87,AFG,1964,85.5110734102311
88,AFG,1965,105.243195716467
89,AFG,1966,143.103233209791
90,AFG,1967,167.165674606148
91,AFG,1968,134.012768293881
92,AFG,1969,134.250359614672
93,AFG,1970,162.642175409527
94,AFG,1971,166.224831269243
95,AFG,1972,141.36532229912
96,AFG,1973,149.74406846683
97,AFG,1974,181.59877600924
98,AFG,1975,194.66903621844
99,AFG,1976,205.674096714917
100,AFG,1977,232.778698777445
101,AFG,1978,255.045622164367
102,AFG,1979,284.755531712597
103,AFG,1980,291.649791044155
104,AFG,1981,311.853617000053
105,AFG,2002,182.174036617438
106,AFG,2003,199.643227895834
107,AFG,2004,221.830530720307
108,AFG,2005,254.115274305561
109,AFG,2006,274.015394322653
110,AFG,2007,376.318296441543
111,AFG,2008,382.533803815415
112,AFG,2009,453.387382075258
113,AFG,2010,562.499219444201
114,AFG,2011,608.738855868402
115,AFG,2012,653.417479124439
116,AFG,2013,638.733184780223
117,AFG,2014,626.512930450573
118,AFG,2015,566.881132665072
119,AFG,2016,523.053012101752
120,AFG,2017,526.140801271383
121,AFG,2018,492.090632280226
122,AFG,2019,497.741429257502
123,AFG,2020,512.055098228687
124,AFG,2021,355.777826392648
125,AFW,1961,112.128416822858
126,AFW,1962,117.814663235976
127,AFW,1963,122.370114159228
128,AFW,1964,130.700277588941
129,AFW,1965,137.301801444326
130,AFW,1966,143.01256159062
131,AFW,1967,127.32526763253
132,AFW,1968,128.366810603031
133,AFW,1969,142.327523480764
134,AFW,1970,193.576278426255
135,AFW,1971,167.637045045566
