,ISO3,year,Food,"Cereals, primary",Agriculture,Livestock,Crops
109,AGO,2007,82.66,52.84,83.11,102.12,79.1
110,AGO,2008,84.63,47.64,84.96,102.87,81.19
111,AGO,2009,101.68,64.16,101.89,100.99,102.08
112,AGO,2010,103.75,69.41,103.9,102.44,104.2
113,AGO,2011,109.1,80.27,109.2,101.14,110.9
114,AGO,2012,88.07,28.44,88.3,100.42,85.75
115,AGO,2013,113.86,87.58,113.84,101.22,116.51
116,AGO,2014,97.96,92.03,98.01,100.26,97.53
117,AGO,2015,100.78,98.13,100.77,99.83,100.97
118,AGO,2016,101.27,109.85,101.22,99.91,101.5
119,AGO,2017,97.98,110.27,97.93,100.11,97.48
120,AGO,2018,96.65,122.93,96.6,96.36,96.65
121,AGO,2019,94.79,120.72,94.73,92.4,95.22
122,AGO,2020,97.18,123.18,97.07,97.75,96.93
123,AGO,2021,95.55,118.3,95.43,98.25,94.83
124,AGO,2022,97.56,119.07,97.4,100.56,96.74
125,AGO,2023,100.53,122.06,100.33,100.75,100.24
126,ALB,1961,36.17,72.78,38.63,38.45,38.77
127,ALB,1962,36.21,77.28,39.9,37.98,41.39
128,ALB,1963,33.29,68.27,38.18,36.81,39.23
129,ALB,1964,36.53,80.76,40.84,35.21,45.18
130,ALB,1965,33.79,75.36,38.12,35.36,40.25
131,ALB,1966,37.6,93.98,41.8,35.44,46.71
132,ALB,1967,39.11,102.57,42.91,39.02,45.9
133,ALB,1968,38.98,104.15,41.5,35.26,46.32
134,ALB,1969,38.37,107.68,41.05,34.67,45.97
135,ALB,1970,38.4,106.57,41.27,34.71,46.33
136,ALB,1971,38.86,105.55,41.6,35.84,46.04
137,ALB,1972,38.58,110.66,41.58,34.26,47.22
138,ALB,1973,40.36,116.65,43.57,35.0,50.19
139,ALB,1974,40.58,116.64,43.56,35.18,50.03
140,ALB,1975,40.36,116.86,43.31,34.61,50.02
141,ALB,1976,43.68,148.89,46.42,36.02,54.45
142,ALB,1977,44.64,153.96,47.42,36.09,56.16
143,ALB,1978,45.55,153.93,48.42,38.96,55.73
144,ALB,1979,45.38,155.29,48.83,39.51,56.02
145,ALB,1980,43.61,140.09,46.62,39.73,51.93
146,ALB,1981,44.44,140.37,47.56,40.65,52.88
147,ALB,1982,44.97,147.34,48.0,39.95,54.22
148,ALB,1983,48.0,159.08,50.75,39.53,59.4
149,ALB,1984,43.64,152.67,46.48,37.43,53.47
150,ALB,1985,42.16,143.8,45.3,36.17,52.35
151,ALB,1986,41.07,146.61,44.51,35.04,51.82
152,ALB,1987,41.66,141.58,45.05,36.61,51.57
153,ALB,1988,39.62,136.06,41.52,38.98,43.48
154,ALB,1989,43.58,137.99,46.02,40.6,50.19
155,ALB,1990,42.58,120.98,44.5,44.29,44.66
156,ALB,1993,45.24,88.98,46.67,52.29,42.33
157,ALB,1994,50.42,85.83,50.9,61.79,42.5
158,ALB,1995,54.4,85.88,55.15,70.13,43.6
159,ALB,1996,55.06,66.25,55.73,71.6,43.49
160,ALB,1997,52.41,81.03,53.23,63.58,45.24
161,ALB,1998,55.03,82.05,55.81,65.11,48.64
162,ALB,1999,54.84,66.72,55.62,69.28,45.09
163,ALB,2000,58.19,77.01,58.91,73.67,47.52
164,ALB,2001,60.24,68.4,60.67,75.75,49.04
165,ALB,2002,60.96,70.88,61.29,78.22,48.22
166,ALB,2003,64.22,66.72,64.38,81.65,51.05
167,ALB,2004,67.7,68.14,67.93,85.04,54.73
168,ALB,2005,67.03,70.37,67.29,83.16,55.04
169,ALB,2006,70.2,69.82,70.41,85.3,58.91
170,ALB,2007,71.83,69.17,72.02,89.39,58.61
171,ALB,2008,74.75,86.82,74.81,83.05,68.45
172,ALB,2009,78.25,90.58,78.35,84.48,73.62
173,ALB,2010,84.84,98.96,84.93,88.81,81.93
174,ALB,2011,89.57,100.47,89.66,92.96,87.11
175,ALB,2012,94.74,100.26,94.72,96.25,93.54
176,ALB,2013,95.39,100.91,95.47,98.11,93.43
177,ALB,2014,96.71,100.31,96.81,98.11,95.81
178,ALB,2015,100.12,99.64,100.1,100.29,99.96
179,ALB,2016,103.17,100.06,103.08,101.61,104.23
180,ALB,2017,103.94,100.44,103.78,101.04,105.9
181,ALB,2018,106.23,96.53,106.09,105.71,106.38
182,ALB,2019,104.59,95.08,104.47,99.49,108.31
183,ALB,2020,106.77,97.92,106.57,95.39,115.2
184,ALB,2021,106.8,99.5,106.59,93.41,116.75
185,ALB,2022,108.27,100.39,108.01,85.89,125.08
186,ALB,2023,102.46,102.4,102.31,80.29,119.3
187,ARE,1961,287.87,,287.67,440.51,102.78
188,ARE,1962,277.95,,277.76,420.5,105.07
189,ARE,1963,273.5,,273.31,410.54,107.3
190,ARE,1964,270.7,,270.51,404.16,108.83
191,ARE,1965,264.53,,264.35,396.43,104.56
192,ARE,1966,261.4,,272.01,390.46,128.71
193,ARE,1967,260.23,,270.5,383.45,133.86
194,ARE,1968,244.46,,258.42,363.44,131.37
195,ARE,1969,215.15,,229.11,314.33,126.01
196,ARE,1970,192.62,,205.59,274.91,121.74
197,ARE,1971,173.4,,187.29,246.05,116.21
198,ARE,1972,146.8,,156.45,211.5,89.85
199,ARE,1973,146.16,,153.8,203.5,93.68
200,ARE,1974,149.35,,155.78,173.07,134.86
201,ARE,1975,131.96,,137.41,141.78,132.12
202,ARE,1976,104.53,,109.04,87.28,135.35
203,ARE,1977,110.69,4.98,114.17,93.61,139.04
204,ARE,1978,126.54,75.48,130.19,97.07,170.26
205,ARE,1979,127.96,217.27,130.85,90.15,180.09
206,ARE,1980,134.64,225.16,137.13,92.68,190.9
207,ARE,1981,136.99,173.73,140.64,93.8,197.3
208,ARE,1982,162.14,385.22,164.26,98.1,244.31
209,ARE,1983,175.44,260.73,178.81,110.05,262.0
210,ARE,1984,157.19,296.87,158.48,110.05,217.06
211,ARE,1985,154.84,238.15,155.65,111.51,209.06
212,ARE,1986,152.99,202.12,153.65,115.67,199.6
213,ARE,1987,142.62,140.14,143.17,114.34,178.06
214,ARE,1988,170.25,81.65,170.73,121.85,229.87
215,ARE,1989,175.96,169.37,176.58,114.25,251.99
216,ARE,1990,173.75,782.83,174.46,116.42,244.66
217,ARE,1991,192.32,688.45,192.93,108.43,295.16
218,ARE,1992,226.99,743.71,227.38,108.9,370.71
219,ARE,1993,229.18,445.78,229.52,109.87,374.27
220,ARE,1994,234.21,472.44,234.53,119.02,374.27
221,ARE,1995,254.84,452.27,255.09,117.95,421.0
222,ARE,1996,259.73,396.09,259.99,125.47,422.73
223,ARE,1997,288.31,345.63,288.52,119.32,493.2
224,ARE,1998,272.4,307.74,272.54,113.01,465.53
225,ARE,1999,383.62,267.59,383.75,97.54,729.99
226,ARE,2000,458.72,251.24,458.76,108.94,881.96
227,ARE,2001,283.72,210.95,283.84,106.37,498.55
228,ARE,2002,262.23,170.58,262.35,112.51,443.63
229,ARE,2003,229.72,121.21,229.85,101.28,385.38
230,ARE,2004,234.08,106.95,234.18,98.82,397.93
231,ARE,2005,225.73,99.12,225.77,104.81,372.09
232,ARE,2006,193.25,94.87,193.23,95.13,311.91
233,ARE,2007,171.48,70.85,171.47,86.85,273.86
234,ARE,2008,165.94,80.8,165.93,89.53,258.34
235,ARE,2009,153.57,108.37,153.58,88.33,232.5
236,ARE,2010,161.74,164.44,161.75,97.38,239.62
237,ARE,2011,90.82,136.41,90.83,96.33,84.18
