,ISO3,year,ndvi
0,AFG,1982,0.09714995651245126
0,AFG,1983,0.09915246887207028
0,AFG,1984,0.09545962829589841
0,AFG,1985,0.10028447799682627
0,AFG,1986,0.09901444015502936
0,AFG,1987,0.10208916015624993
0,AFG,1988,0.10232951354980462
0,AFG,1989,0.09770881576538075
0,AFG,1990,0.09984252853393552
0,AFG,1991,0.10063112716674795
0,AFG,1992,0.10242746276855473
0,AFG,1993,0.1023605323791504
0,AFG,1994,0.10142179489135754
0,AFG,1995,0.10247315750122073
0,AFG,1996,0.10169214096069336
0,AFG,1997,0.10070204010009755
0,AFG,1998,0.1033548789978028
0,AFG,1999,0.09987989120483395
0,AFG,2000,0.09309340820312502
0,AFG,2001,0.09593778686523435
0,AFG,2002,0.10079525451660155
0,AFG,2003,0.10570834960937509
0,AFG,2004,0.09409209518432615
0,AFG,2005,0.10155664367675776
0,AFG,2006,0.09346188125610347
0,AFG,2007,0.10104721450805655
0,AFG,2008,0.08594366226196289
0,AFG,2009,0.1100159149169921
0,AFG,2010,0.10722639846801754
0,AFG,2011,0.0920111946105957
0,AFG,2012,0.10396789627075198
0,AFG,2013,0.10325594940185556
0,AFG,2014,0.0973040840148926
0,AFG,2015,0.10413223800659183
0,AFG,2016,0.10284202270507813
0,AFG,2017,0.1002061485290528
0,AFG,2018,0.09119312820434575
0,AFG,2019,0.1087146354675293
0,AFG,2020,0.10822450408935556
0,AFG,2021,0.09337519302368164
0,AFG,2022,0.09267991638183598
5,AGO,1982,0.6145535644531248
5,AGO,1983,0.6056872528076171
5,AGO,1984,0.6101764404296875
5,AGO,1985,0.6153438903808592
5,AGO,1986,0.6216596252441406
5,AGO,1987,0.6059655578613281
5,AGO,1988,0.6110459533691408
5,AGO,1989,0.6129583923339842
5,AGO,1990,0.6140926055908204
5,AGO,1991,0.6104779205322266
5,AGO,1992,0.6120007049560546
5,AGO,1993,0.6072641815185549
5,AGO,1994,0.5945415191650393
5,AGO,1995,0.6183207458496096
5,AGO,1996,0.6142885101318359
5,AGO,1997,0.6125213653564454
5,AGO,1998,0.6151323852539062
5,AGO,1999,0.6122329864501953
5,AGO,2000,0.6131282775878905
5,AGO,2001,0.6176643288352273
5,AGO,2002,0.6197207336425781
5,AGO,2003,0.618247039794922
5,AGO,2004,0.6136690479625355
5,AGO,2005,0.6112410860928622
5,AGO,2006,0.6088607149991122
5,AGO,2007,0.5932613941539417
5,AGO,2008,0.6060254239169034
5,AGO,2009,0.6086682600541549
5,AGO,2010,0.6285334205627442
5,AGO,2011,0.6358262772993606
5,AGO,2012,0.5987562283602628
5,AGO,2013,0.6006868103027343
5,AGO,2014,0.6198280700683594
5,AGO,2015,0.6126786346435548
5,AGO,2016,0.6227291809082032
5,AGO,2017,0.6273942413330079
5,AGO,2018,0.6322571655273437
5,AGO,2019,0.6093368530273438
5,AGO,2020,0.6380767008463542
5,AGO,2021,0.6119106933593751
5,AGO,2022,0.6185036712646484
3,ALB,1982,0.5595718902587891
3,ALB,1983,0.5668932006835937
3,ALB,1984,0.5588363586425782
3,ALB,1985,0.5810106384277344
3,ALB,1986,0.5630390716552732
3,ALB,1987,0.5722176361083985
3,ALB,1988,0.562942645263672
3,ALB,1989,0.5737979614257813
3,ALB,1990,0.5738013122558593
3,ALB,1991,0.5601535034179688
3,ALB,1992,0.5665596496582032
3,ALB,1993,0.5757644348144532
3,ALB,1994,0.5684341247558593
3,ALB,1995,0.5830108947753905
3,ALB,1996,0.5828046936035156
3,ALB,1997,0.5841290588378907
3,ALB,1998,0.5867454406738282
3,ALB,1999,0.5886590148925782
3,ALB,2000,0.5841963989257813
3,ALB,2001,0.5797320159912109
3,ALB,2002,0.5791756622314453
3,ALB,2003,0.5467294708251954
3,ALB,2004,0.597020965576172
3,ALB,2005,0.5821267700195313
3,ALB,2006,0.6052803100585936
3,ALB,2007,0.5649855834960937
3,ALB,2008,0.5789720886230467
3,ALB,2009,0.6030880981445313
3,ALB,2010,0.6090419616699217
3,ALB,2011,0.6101508972167969
3,ALB,2012,0.576183819580078
3,ALB,2013,0.588895391845703
3,ALB,2014,0.6217556823730469
3,ALB,2015,0.5922631530761718
3,ALB,2016,0.6285077819824219
3,ALB,2017,0.5872676330566408
3,ALB,2018,0.6411336791992187
3,ALB,2019,0.6172420227050782
3,ALB,2020,0.6163289672851563
3,ALB,2021,0.5883476684570312
3,ALB,2022,0.5921169372558593
6,ARG,1982,0.38430829620361323
6,ARG,1983,0.3819044952392578
6,ARG,1984,0.3825310465494792
6,ARG,1985,0.4012316106160482
6,ARG,1986,0.3935544357299803
6,ARG,1987,0.3961210276285806
6,ARG,1988,0.39058212280273436
6,ARG,1989,0.3853301671346028
6,ARG,1990,0.3931711502075195
6,ARG,1991,0.3907544479370117
6,ARG,1992,0.39810935465494796
6,ARG,1993,0.39495772043863925
6,ARG,1994,0.3888953781127929
6,ARG,1995,0.3873877614339194
6,ARG,1996,0.3908328475952147
6,ARG,1997,0.39734203847249333
6,ARG,1998,0.3969215545654297
6,ARG,1999,0.3921922556559246
6,ARG,2000,0.3934149373372396
6,ARG,2001,0.39137635585239955
6,ARG,2002,0.39275984409877235
6,ARG,2003,0.3915097852434431
6,ARG,2004,0.38728439331054687
6,ARG,2005,0.37958850751604356
6,ARG,2006,0.376056564331055
