,country,year,fd_ln_tfp,wildfire,drought,heat_wave,temp_ag_weighted,precip_ag_weighted,humidity_ag_weighted
0,AFG,1962,-0.0163647277146097,0,0,0,8.641979471842603,41.161664330729735,4.679733296235402
1,AFG,1963,-0.0425324101677491,0,0,0,10.7779963175455,41.073641801858685,5.061421851317086
2,AFG,1964,0.053502683810513,0,0,0,9.486947631836015,56.71329373262779,4.785405894120532
3,AFG,1965,-0.0186859854660923,0,0,0,11.165645853678257,65.84164831292584,5.245624721050263
4,AFG,1966,-0.0259745472900201,0,0,0,11.68609517415365,84.00580456077476,5.869477073351543
5,AFG,1967,0.008073195508671,0,0,0,9.84857838948568,48.21671600029733,4.83638439575831
6,AFG,1968,0.0060644872615984,0,0,0,10.178244527180937,54.6567429496463,4.75848827759425
7,AFG,1969,-0.0046557569642686,0,1,0,10.76816965738942,55.25229505110476,5.078029414017995
8,AFG,1970,-0.1021053334571933,0,0,0,10.892920430501247,37.0188687602422,4.698577125867208
9,AFG,1971,-0.0813514365288998,0,1,0,10.36774597167971,34.63852188451714,4.619357208410899
10,AFG,1972,0.1052137204149836,0,0,0,7.506051635742153,50.613523554602594,4.609764357407889
11,AFG,1973,0.0716948750790544,0,0,0,9.587597147623796,45.46355875584139,4.7629919052124015
12,AFG,1974,-0.0305097170705375,0,0,0,8.043623860677087,40.82392518625967,4.27801936864853
13,AFG,1975,-0.0004335614406691,0,0,0,8.709097798665255,42.55704019192308,4.514851172765096
14,AFG,1976,0.0367977880429268,0,0,0,8.790416971842376,40.59184659831772,4.849761486053468
15,AFG,1977,-0.1264854987372494,0,0,0,10.38386942545577,38.634832802245015,5.01902957757314
16,AFG,1978,0.0735770925138785,0,0,0,10.218715922037802,30.2083569356455,4.855738202730815
17,AFG,1979,0.0148690278303584,0,0,0,9.83332977294924,35.777828852815226,4.834489385286967
18,AFG,1980,0.0063384698705624,0,0,0,10.464000956217376,36.77471696641987,4.8737954894701625
19,AFG,1981,0.0325583193548961,0,0,0,10.319456990560129,39.33046291149369,5.071743448575338
20,AFG,1982,-0.0100254598752345,0,0,0,9.489536539713413,46.73016938158978,4.917669216791789
21,AFG,1983,0.0075445178239759,0,0,0,9.816176350911462,35.50410470325007,4.923781951268514
22,AFG,1984,-0.0273250550518353,0,0,0,9.380687967936126,35.703275627611234,4.809089263280235
23,AFG,1985,-0.0078745726894737,0,0,0,10.322343444824298,32.54860906008616,4.839747865994771
24,AFG,1986,-0.0207353322434515,0,0,0,9.693526204427087,38.246414914738125,4.740687549114228
25,AFG,1987,0.0057374711373094,0,0,0,10.3029393513998,32.58542362641495,4.872081160545348
26,AFG,1988,0.0579271249315782,0,0,0,10.60167338053384,36.54121718409442,4.962588191032411
27,AFG,1989,-0.0039447093006863,0,0,0,9.264260864258006,36.687388677137285,4.482836842536927
28,AFG,1990,0.1094407722577841,0,0,0,10.75982818603535,44.62468820202048,5.053148865699767
29,AFG,1991,0.1321054492302211,0,0,0,10.149438476562466,61.20734351270583,5.146620968977612
30,AFG,1992,-0.0219160038142982,0,0,0,9.747961934407556,48.61780353621727,4.902446587880454
31,AFG,1993,-0.0023937834133711,0,0,0,9.764805094401028,39.84074942491132,4.784870584805805
32,AFG,1994,0.0705482578492358,0,0,0,9.920022583007778,42.93606298915619,4.80004115899404
33,AFG,1995,0.0101940502310284,0,0,0,8.929027811686183,37.52315126143915,4.490440746148429
34,AFG,1996,0.0587871560679618,0,0,0,9.470089213053257,47.44842402305952,4.532753109931947
35,AFG,1997,0.0661911172281817,0,0,0,9.905287679036462,55.74577690322256,4.809904078642528
36,AFG,1998,0.0364457795592763,0,0,0,10.516613260904876,47.841388427968944,4.891688525676727
37,AFG,1999,0.0114762124361895,1,0,0,10.288832600911576,39.67587876383047,4.657796641190846
38,AFG,2000,-0.0922902399593708,0,1,0,10.022325134277196,32.23517367905516,4.414496322472889
39,AFG,2001,-0.1174223903322344,0,0,0,10.690957641601583,31.269075653881337,4.469589094320935
40,AFG,2002,0.0969442483523099,0,0,0,10.34996185302748,37.84332622399234,4.560139159361522
41,AFG,2003,0.0518430341881028,0,0,0,9.793898518880326,33.51068839310755,4.508973717689516
42,AFG,2004,-0.0814178867008745,0,0,0,10.493175760905046,33.2545458536515,4.663341085116067
43,AFG,2005,-0.0073150462004587,0,0,0,8.884075419108171,36.57933119643531,4.430349508921306
44,AFG,2006,-0.0819535949777225,0,1,0,10.740810648600243,30.48451172048772,4.689843813578288
45,AFG,2007,0.1030830472995676,0,0,0,9.82837575276693,31.175793184559105,4.405104001363118
46,AFG,2008,-0.0466338995894624,0,1,0,10.299427286783953,27.742455381741145,4.404337326685587
47,AFG,2009,0.1157928089463862,0,0,0,9.92684326171883,38.75897182365408,4.658718983332316
48,AFG,2010,-0.0524423549766872,0,0,0,10.797273254394495,30.565037114115537,4.601521193981171
49,AFG,2011,-0.0406485913263372,0,1,0,10.091821289062691,23.293014485034305,4.2541807889938354
50,AFG,2012,0.0865866858208121,0,0,0,8.944210306803313,28.78906587255872,4.280777394771577
51,AFG,2013,-0.0590963628155698,0,0,0,10.192389424642045,23.35334682823032,4.367018779118856
52,AFG,2014,0.0971613307469443,0,0,0,9.232031758626531,31.366243452339404,4.443763693173729
53,AFG,2015,-0.0675346613484757,0,0,0,10.976386006673296,41.80330533631602,4.679612398147582
54,AFG,2016,0.1352032796172597,0,0,0,11.667807515462188,29.14950477679668,4.680663526058196
55,AFG,2017,-0.0186660311871982,0,0,0,10.756702677408782,33.99051926510312,4.472723702589669
56,AFG,2018,-0.034970444013008,0,1,0,11.09987538655605,35.759232573354865,4.940303723017375
57,AFG,2019,0.2329635734975106,0,0,0,10.361606852213413,53.79890203266768,5.0828814307848615
58,AFG,2020,0.0522032448688669,0,0,0,7.447030639648403,51.55430625916324,5.044074972470603
59,AFG,2021,-0.0636907542602216,0,1,0,9.51929880777999,27.776422461556667,4.763122379779815
60,AGO,1962,-0.0093214214923609,0,0,0,20.033001200358,73.98672866258943,11.306675036748253
61,AGO,1963,-0.0365408605782979,0,0,0,20.27795054117854,89.59246899743788,11.610114892323807
62,AGO,1964,0.0280497102928212,0,0,0,20.227489725748622,83.36478414821612,11.705908099810296
63,AGO,1965,-0.0005011276325683,0,0,0,20.089112854003872,80.82478458103992,11.461397091547656
64,AGO,1966,0.0106868450516897,0,0,0,20.49042663574216,85.06685816794857,11.840167840321856
65,AGO,1967,-0.0228065245271151,0,0,0,20.161004638671898,85.03906902437564,11.751716772715262
66,AGO,1968,-0.0567709748309948,0,0,0,20.125311787923124,80.69497938046764,11.496911923090623
67,AGO,1969,0.0107827046997286,0,0,0,20.91587727864595,81.18352200199294,11.958265185356144
68,AGO,1970,-0.0016149215812459,0,0,0,20.67909647623713,80.57765141484192,11.710277875264492
69,AGO,1971,-0.0340619615265849,0,0,0,20.237262980143328,75.72458051551936,11.381030281384788
70,AGO,1972,-0.0363287848042901,0,0,0,20.42625071207692,75.95543390777237,11.541926860809328
71,AGO,1973,-0.0076326605400387,0,0,0,20.68190663655588,70.4651153108955,11.589168111483248
72,AGO,1974,0.008086537856828,0,0,0,20.20823313395175,75.44861193690623,11.537937919298814
73,AGO,1975,-0.0531852387779157,0,0,0,20.48712565104171,72.4240262279352,11.576865315437315
74,AGO,1976,-0.1576431809117906,0,0,0,20.32139231363925,90.396982316463,11.94482187430065
75,AGO,1977,-0.1088082082364283,0,0,0,20.865116373697845,75.72662190301573,12.055721918741868
76,AGO,1978,-0.0439059687595397,0,0,0,19.9697153727214,80.06628260446291,11.708684325218206
77,AGO,1979,-0.0556799882613829,0,0,0,20.820939636230435,75.84399887920766,12.197559475898744
78,AGO,1980,0.0222826590780744,0,0,0,20.847360229492097,73.07698269895015,11.817698001861572
79,AGO,1981,-0.0661834997969892,0,1,0,20.210766092936296,74.5054913181633,11.35381710529328
80,AGO,1982,0.0130615743931401,0,0,0,20.62254994710287,74.25980990170444,11.780229091644284
81,AGO,1983,-0.0176572682956925,0,0,0,21.01956329345705,65.79480158587357,11.729598641395564
82,AGO,1984,0.0066099974525788,0,0,0,20.55555623372396,87.40055261451118,12.01505966981252
83,AGO,1985,-0.0313752877450026,0,1,0,20.39396057128903,75.89826774114526,11.4317398071289
84,AGO,1986,0.018235888203844,0,0,0,20.4805898030599,93.12471118113304,12.030775268872572
85,AGO,1987,0.0074387507552566,0,0,0,21.188035583496173,77.11965267801449,11.925779620806372
86,AGO,1988,-0.0037615433163828,0,0,0,21.095674133300804,88.2277919196213,12.369399627049766
87,AGO,1989,-0.009066759249988,0,1,0,20.83116556803396,73.82467749710037,11.966083010037742
88,AGO,1990,0.0265834818470631,0,0,0,21.250436401367267,84.34572369199596,12.329257408777876
89,AGO,1991,0.0324639404876538,0,0,0,21.26328175862648,97.84609154939972,12.821636994679766
90,AGO,1992,0.0217156756826786,0,0,0,21.42188415527346,80.2967677639117,12.485660235087082
91,AGO,1993,-0.0211731975579994,0,0,0,21.128170267740927,90.56370325401984,12.54016307989756
92,AGO,1994,0.1143340286939662,0,0,0,21.050803120931,80.28784655863319,12.531100352605185
93,AGO,1995,-0.0059798471569361,0,0,0,21.521821594238418,81.18409053452072,12.7172398964564
94,AGO,1996,0.0609589202341909,0,0,0,21.12199045817056,71.5139045249202,12.210870186487831
95,AGO,1997,-0.0048221587541794,0,1,0,21.206747945149743,90.88042076200507,13.190531969070436
96,AGO,1998,0.0494236870378612,0,0,0,21.87103678385421,70.21876114754376,12.995013674100235
97,AGO,1999,-0.0389931819166653,0,0,0,21.30140329996749,83.65376092876885,12.454473376274109
98,AGO,2000,0.0779864324556189,0,0,0,21.202617899576865,64.01684514406725,12.022723476092017
99,AGO,2001,0.0823828589465005,0,1,0,21.653395589192822,65.22112364115173,12.188247760136925
100,AGO,2002,0.0772965751286909,0,0,0,21.392121887207,79.55500059892985,12.39356795946756
101,AGO,2003,0.0465084425929021,0,0,0,21.599849955240984,76.98517904827894,12.589711427688597
102,AGO,2004,-0.0064474894898509,0,1,0,21.498686726888025,71.97388519637116,12.427732110023491
103,AGO,2005,0.0668276494649289,0,0,0,21.82770182291653,68.81478148424236,12.541933298110967
104,AGO,2006,-0.0108294107031969,0,0,0,21.46598459879573,80.58917555797507,12.541323065757751
105,AGO,2007,0.0976098172085251,0,0,0,21.61054890950527,89.35082108087047,13.063484549522387
106,AGO,2008,0.0693956658131487,0,0,0,21.556283569336017,84.58249318368868,12.6286062002182
107,AGO,2009,0.0940423883039232,0,0,0,21.344013468424407,76.26432740698874,12.24240891138713
108,AGO,2010,0.0265994922918366,0,0,0,21.53343353271481,77.84726188765491,12.541357835133866
109,AGO,2011,-0.0007137292643131,0,0,0,20.918417867024857,84.21789122584752,12.28869458039602
110,AGO,2012,-0.0748485850359044,0,1,0,21.02064158121749,71.29660678680239,11.983930110931396
111,AGO,2013,0.1256866447682059,0,0,0,21.15262502034517,70.16742612103144,11.92629488309224
112,AGO,2014,-0.1017606591950119,0,0,0,21.3363789876301,69.7912882000082,12.229070226351416
113,AGO,2015,0.0058224321082223,0,0,0,21.37188110351559,73.60476119177407,12.354486465454096
114,AGO,2016,-0.0561037400509851,0,0,0,21.70411326090499,75.23212321235917,12.380891601244608
115,AGO,2017,-0.0310672877185158,0,1,0,21.927395121256662,68.5547669871198,12.252682606379198
116,AGO,2018,-0.0012408243732719,0,0,0,21.184159851074355,77.94407452989911,12.083089351654046
117,AGO,2019,0.0061754742414636,0,0,0,21.19798940022781,80.08124417997207,12.248862862586977
