,ISO3,year,spei_agweighted
0,ABW,1901,0.14448332499402253
1,ABW,1902,0.3368395891351004
2,ABW,1903,0.28634310032551485
3,ABW,1904,0.4717363957315683
4,ABW,1905,0.3760670487148066
5,ABW,1906,0.43461195767546695
6,ABW,1907,0.5034312860419351
7,ABW,1908,0.43903400686879945
8,ABW,1909,0.455094523107012
9,ABW,1910,0.5909082108798125
10,ABW,1911,0.7841512789794552
11,ABW,1912,0.48004729611178226
12,ABW,1913,0.5461852108904469
13,ABW,1914,0.3885102060157805
14,ABW,1915,0.00032473045090850955
15,ABW,1916,0.18157522027225595
16,ABW,1917,0.4653632330397761
17,ABW,1918,0.1966777419050536
18,ABW,1919,-0.18484800184766492
19,ABW,1920,0.13156614825129517
20,ABW,1921,-0.02205788282056669
21,ABW,1922,0.661631557469567
22,ABW,1923,0.023502474961181546
23,ABW,1924,0.3031745254993449
24,ABW,1925,-0.2676330756706491
25,ABW,1926,0.01877133858700669
26,ABW,1927,0.6997907112042109
27,ABW,1928,0.27879177530606564
28,ABW,1929,-0.11399155208588753
29,ABW,1930,-0.36873340668777627
30,ABW,1931,0.12431440129876202
31,ABW,1932,0.1541058445970219
32,ABW,1933,0.4522015427549683
33,ABW,1934,-0.23450899310410003
34,ABW,1935,0.38135472933451314
35,ABW,1936,0.16009228552381205
36,ABW,1937,0.35450717682639904
37,ABW,1938,0.31980811245739454
38,ABW,1939,-0.10950062703341239
39,ABW,1940,-0.69833196947972
40,ABW,1941,-0.8153260481388628
41,ABW,1942,0.26394162451227515
42,ABW,1943,0.4197887560973572
43,ABW,1944,0.41977742500603266
44,ABW,1945,0.3435614566939576
45,ABW,1946,0.31608398817479627
46,ABW,1947,-0.4421923644840722
47,ABW,1948,-0.06453649699687956
48,ABW,1949,0.3728333922723926
49,ABW,1950,0.9961589720721036
50,ABW,1951,0.1295082971919325
51,ABW,1952,-0.30445943012212745
52,ABW,1953,-0.6398538351058961
53,ABW,1954,-0.09693343766654501
54,ABW,1955,0.18042678230752543
55,ABW,1956,0.3993800779183709
56,ABW,1957,-0.7994417101144792
57,ABW,1958,-1.1748961719373863
58,ABW,1959,-1.0612849791844676
59,ABW,1960,-0.6847491369893163
60,ABW,1961,-0.5321180559694764
61,ABW,1962,-0.498905084716777
62,ABW,1963,-0.021850037078063062
63,ABW,1964,-0.5875026416033505
64,ABW,1965,-0.44627362862229375
65,ABW,1966,0.33640352512399324
66,ABW,1967,-0.09554272238165067
67,ABW,1968,-0.16930976634224304
68,ABW,1969,0.24774359663327625
69,ABW,1970,0.23079242929816204
70,ABW,1971,-0.019411316762367768
71,ABW,1972,-0.03575502460201667
72,ABW,1973,-0.07864450166622737
73,ABW,1974,0.014685941394419108
74,ABW,1975,0.28576301224529704
75,ABW,1976,0.13498427470525073
76,ABW,1977,-0.3597317816068724
77,ABW,1978,-0.17702353186905398
78,ABW,1979,0.3903181466157557
79,ABW,1980,-0.558122261427343
80,ABW,1981,0.9261229125161954
81,ABW,1982,0.014865310241777738
82,ABW,1983,-0.3881465992235464
83,ABW,1984,0.3855077450474103
84,ABW,1985,0.8983111282189679
85,ABW,1986,-0.10429967318971944
86,ABW,1987,-0.3106951763232542
87,ABW,1988,0.5007017391423388
88,ABW,1989,0.20918867116173076
89,ABW,1990,0.5247021357839311
90,ABW,1991,-0.5854352253178751
