,ISO3,year,spei_unweighted
0,ABW,1901,0.1444833225104957
1,ABW,1902,0.3368395941021543
2,ABW,1903,0.2863431052925686
3,ABW,1904,0.47173639324804145
4,ABW,1905,0.3760670487148066
5,ABW,1906,0.43461196760957455
6,ABW,1907,0.5034312959760426
7,ABW,1908,0.43903400686879945
8,ABW,1909,0.4550945181399582
9,ABW,1910,0.5909082208139199
10,ABW,1911,0.7841512789794552
11,ABW,1912,0.4800472998370726
12,ABW,1913,0.5461852021981031
13,ABW,1914,0.38851021719165146
14,ABW,1915,0.0003247205168010285
15,ABW,1916,0.1815752140634388
16,ABW,1917,0.4653632324188944
17,ABW,1918,0.19667773817976317
18,ABW,1919,-0.18484800184766492
19,ABW,1920,0.13156614887217688
20,ABW,1921,-0.022057883441448368
21,ABW,1922,0.6616315593322123
22,ABW,1923,0.023502469994127795
23,ABW,1924,0.3031745453675599
24,ABW,1925,-0.267633071324477
25,ABW,1926,0.018771328652899225
26,ABW,1927,0.6997907211383184
27,ABW,1928,0.2787917777895926
28,ABW,1929,-0.11399155208588753
29,ABW,1930,-0.36873341662188364
30,ABW,1931,0.12431440254052545
31,ABW,1932,0.1541058408717316
32,ABW,1933,0.4522015421340866
33,ABW,1934,-0.23450899869203545
34,ABW,1935,0.3813547380268571
35,ABW,1936,0.1600922861446938
36,ABW,1937,0.35450717682639904
37,ABW,1938,0.3198081223915021
38,ABW,1939,-0.10950064690162731
39,ABW,1940,-0.6983319645126663
40,ABW,1941,-0.8153260617982605
41,ABW,1942,0.2639416220287475
42,ABW,1943,0.4197887511303035
43,ABW,1944,0.41977743494014
44,ABW,1945,0.34356144675985
45,ABW,1946,0.3160839872434737
46,ABW,1947,-0.4421923545499647
47,ABW,1948,-0.06453649948040648
48,ABW,1949,0.37283339692900547
49,ABW,1950,0.9961589720721036
50,ABW,1951,0.1295082929233707
51,ABW,1952,-0.30445942531029413
52,ABW,1953,-0.6398538301388423
53,ABW,1954,-0.09693344015007173
54,ABW,1955,0.18042677734047166
55,ABW,1956,0.3993800679842634
56,ABW,1957,-0.7994417150815329
57,ABW,1958,-1.1748961762835581
58,ABW,1959,-1.061284971733887
59,ABW,1960,-0.6847491369893163
60,ABW,1961,-0.5321180410683158
61,ABW,1962,-0.49890507974972326
62,ABW,1963,-0.021850019693375078
63,ABW,1964,-0.5875026440868774
64,ABW,1965,-0.44627361744642274
65,ABW,1966,0.3364035276075201
66,ABW,1967,-0.0955427223816507
67,ABW,1968,-0.16930977751811402
68,ABW,1969,0.24774359663327625
69,ABW,1970,0.2307924441993232
70,ABW,1971,-0.019411320487658115
71,ABW,1972,-0.03575503205259733
72,ABW,1973,-0.0786444966991737
73,ABW,1974,0.014685929597666477
74,ABW,1975,0.2857630097617701
75,ABW,1976,0.13498427470525073
76,ABW,1977,-0.35973178005466805
77,ABW,1978,-0.17702352938552715
78,ABW,1979,0.3903181590333893
79,ABW,1980,-0.5581222539767624
80,ABW,1981,0.9261229125161962
81,ABW,1982,0.014865310241777738
82,ABW,1983,-0.38814659673880686
83,ABW,1984,0.38550773511330294
84,ABW,1985,0.8983111220101515
85,ABW,1986,-0.1042996527006228
86,ABW,1987,-0.310695178806781
87,ABW,1988,0.5007017416258658
88,ABW,1989,0.2091886736452575
89,ABW,1990,0.5247021460284795
90,ABW,1991,-0.5854352402190365
91,ABW,1992,-0.2825163224091132
92,ABW,1993,-0.5893251627373205
93,ABW,1994,-0.38513728634764793
94,ABW,1995,-0.3008464723825445
95,ABW,1996,0.34883658836285286
96,ABW,1997,-0.7500426570574449
97,ABW,1998,0.025996927171945405
98,ABW,1999,0.4840950692693395
99,ABW,2000,-0.07874915748834628
100,ABW,2001,-0.9163583088666195
101,ABW,2002,-0.7386716588710752
102,ABW,2003,-0.19678714623053883
103,ABW,2004,0.5502616527955982
104,ABW,2005,0.5483761038631212
105,ABW,2006,0.5994109573463596
106,ABW,2007,0.053317103690157845
107,ABW,2008,0.6567127058903378
108,ABW,2009,-0.28704925968001344
109,ABW,2010,0.7826870406667399
110,ABW,2011,1.0543741372724378
111,ABW,2012,-0.1325678514937564
112,ABW,2013,-0.4819568628445279
113,ABW,2014,-1.1528340537721908
114,ABW,2015,-1.0800474906961128
115,ABW,2016,-0.5976180875053001
116,ABW,2017,-0.4158493764698507
117,ABW,2018,-0.4890804504975678
118,ABW,2019,-1.399308195958537
119,ABW,2020,-0.6189739331603051
120,ABW,2021,-0.23004510143073276
121,ABW,2022,-0.1078147245571018
122,ABW,2023,-0.4217621433102372
123,AFG,1901,-0.01048668706789633
124,AFG,1902,-0.03840991668403134
125,AFG,1903,0.3137569526831306
126,AFG,1904,0.17430852043131986
127,AFG,1905,0.12042303057387449
128,AFG,1906,0.08317634975537659
129,AFG,1907,0.48304077486197206
130,AFG,1908,0.2658326951786875
131,AFG,1909,0.07221012884595739
132,AFG,1910,0.14288441891161105
133,AFG,1911,0.14866514752308532
134,AFG,1912,0.07003174784282841
135,AFG,1913,0.12872737242529833
136,AFG,1914,0.011892801849171802
137,AFG,1915,-0.48415708169341015
138,AFG,1916,0.04800211948653075
139,AFG,1917,-0.21943432837724675
140,AFG,1918,0.09467732409636188
141,AFG,1919,0.15937018518646565
142,AFG,1920,0.45775703014805913
143,AFG,1921,0.13592604089838745
144,AFG,1922,0.025754272472113402
145,AFG,1923,0.2976226843893525
146,AFG,1924,0.2852479591965671
147,AFG,1925,-0.3304702905006712
148,AFG,1926,0.11073495261371137
149,AFG,1927,-0.194387380033731
150,AFG,1928,0.32106314832344646
