,ISO3,year,spei_popweighted
0,ABW,1901,0.1444833225104957
1,ABW,1902,0.3368395941021543
2,ABW,1903,0.28634310777609545
3,ABW,1904,0.47173639324804145
4,ABW,1905,0.3760670487148066
5,ABW,1906,0.43461196760957455
6,ABW,1907,0.5034313009430963
7,ABW,1908,0.43903400935232634
8,ABW,1909,0.4550945181399582
9,ABW,1910,0.5909082257809737
10,ABW,1911,0.7841512789794552
11,ABW,1912,0.48004730728765327
12,ABW,1913,0.5461852059233933
13,ABW,1914,0.38851021346636117
14,ABW,1915,0.00032472051680099145
15,ABW,1916,0.18157522275578286
16,ABW,1917,0.4653632327293353
17,ABW,1918,0.19667774314681705
18,ABW,1919,-0.18484800433119175
19,ABW,1920,0.13156614390512314
20,ABW,1921,-0.02205787599086777
21,ABW,1922,0.661631561815739
22,ABW,1923,0.023502473719418132
23,ABW,1924,0.30317454288403306
24,ABW,1925,-0.2676330663574233
25,ABW,1926,0.018771328652899225
26,ABW,1927,0.6997907161712646
27,ABW,1928,0.278791770339012
28,ABW,1929,-0.11399155208588753
29,ABW,1930,-0.36873341413835675
30,ABW,1931,0.1243144012987621
31,ABW,1932,0.15410583590467786
32,ABW,1933,0.4522015421340866
33,ABW,1934,-0.23450899310409992
34,ABW,1935,0.38135473926862057
35,ABW,1936,0.1600922867655755
36,ABW,1937,0.3545071668922916
37,ABW,1938,0.31980813791354495
38,ABW,1939,-0.10950065171346064
39,ABW,1940,-0.6983319707214832
40,ABW,1941,-0.8153260617982605
41,ABW,1942,0.2639416145781677
42,ABW,1943,0.41978875114970604
43,ABW,1944,0.4197774399071939
44,ABW,1945,0.3435614666280651
45,ABW,1946,0.3160839869330328
46,ABW,1947,-0.44219235206643775
47,ABW,1948,-0.0645365019639333
48,ABW,1949,0.3728333927380539
49,ABW,1950,0.9961589894567916
50,ABW,1951,0.1295083040992416
51,ABW,1952,-0.30445942996690706
52,ABW,1953,-0.6398538400729498
53,ABW,1954,-0.09693344139183542
54,ABW,1955,0.18042677982399857
55,ABW,1956,0.39938008288542465
56,ABW,1957,-0.7994417051474255
57,ABW,1958,-1.17489617690444
58,ABW,1959,-1.061284991602102
59,ABW,1960,-0.6847491320222625
60,ABW,1961,-0.5321180460353695
61,ABW,1962,-0.498905084716777
62,ABW,1963,-0.021850024660428735
63,ABW,1964,-0.5875026490539311
64,ABW,1965,-0.44627362862229375
65,ABW,1966,0.33640352015693936
66,ABW,1967,-0.09554271741459686
67,ABW,1968,-0.1693097675840065
68,ABW,1969,0.24774359166622248
69,ABW,1970,0.23079243674874259
70,ABW,1971,-0.019411318004131175
71,ABW,1972,-0.035755039503177835
72,ABW,1973,-0.07864448055624908
73,ABW,1974,0.01468595381205351
74,ABW,1975,0.28576300852000674
75,ABW,1976,0.13498427470525073
76,ABW,1977,-0.3597317797442272
77,ABW,1978,-0.17702352938552715
78,ABW,1979,0.39031816896749666
79,ABW,1980,-0.5581222639108699
80,ABW,1981,0.9261229025820885
81,ABW,1982,0.014865335077046432
82,ABW,1983,-0.38814659425528003
83,ABW,1984,0.3855077450474103
84,ABW,1985,0.8983111182848611
85,ABW,1986,-0.1042996527006228
86,ABW,1987,-0.3106951738397273
87,ABW,1988,0.5007017515599733
88,ABW,1989,0.20918868357936504
89,ABW,1990,0.524702155962587
90,ABW,1991,-0.5854352327684557
91,ABW,1992,-0.28251632178823155
92,ABW,1993,-0.5893251801220085
93,ABW,1994,-0.3851372913147017
94,ABW,1995,-0.3008464773495991
95,ABW,1996,0.3488365833957991
96,ABW,1997,-0.7500426595409717
97,ABW,1998,0.025996933380762643
98,ABW,1999,0.4840950792034469
99,ABW,2000,-0.07874914258718498
100,ABW,2001,-0.9163583150754366
101,ABW,2002,-0.7386716585606344
102,ABW,2003,-0.1967871561646463
103,ABW,2004,0.5502616503120715
104,ABW,2005,0.548376130561035
105,ABW,2006,0.5994109623134135
106,ABW,2007,0.05331711346904491
107,ABW,2008,0.6567127170662087
108,ABW,2009,-0.2870492422953253
109,ABW,2010,0.7826870431502667
110,ABW,2011,1.0543741596241796
111,ABW,2012,-0.13256784528493917
112,ABW,2013,-0.48195686781158154
113,ABW,2014,-1.1528340438380835
114,ABW,2015,-1.080047510564328
115,ABW,2016,-0.597618072604139
116,ABW,2017,-0.4158493864039583
117,ABW,2018,-0.48908043590684747
118,ABW,2019,-1.399308184782666
119,ABW,2020,-0.6189739412317675
120,ABW,2021,-0.2300451011202919
121,ABW,2022,-0.10781472424666094
122,ABW,2023,-0.4217621433102372
123,AFG,1901,0.026090246858075233
124,AFG,1902,-0.1266915146261454
125,AFG,1903,0.2752611742665368
126,AFG,1904,0.15699966484680825
127,AFG,1905,0.10376441075156145
128,AFG,1906,0.048857949674129354
129,AFG,1907,0.4264296044905989
130,AFG,1908,0.18491107656154784
131,AFG,1909,-0.03477463498711586
132,AFG,1910,0.08430500654503705
133,AFG,1911,0.09502022457309069
134,AFG,1912,0.07056995294988144
135,AFG,1913,0.04745084481934705
136,AFG,1914,0.07617382546110683
137,AFG,1915,-0.38693429653843286
138,AFG,1916,-0.017506435435886203
139,AFG,1917,-0.2781058239440118
140,AFG,1918,-0.004873503309985043
141,AFG,1919,0.10723289238133778
142,AFG,1920,0.3509321414555113
143,AFG,1921,0.09942963765934136
144,AFG,1922,0.009247278018544235
145,AFG,1923,0.27734441061814596
146,AFG,1924,0.2595217068058749
147,AFG,1925,-0.2545518549159171
148,AFG,1926,0.023271965173383563
149,AFG,1927,-0.22166316832105293
150,AFG,1928,0.226130854648848
151,AFG,1929,0.1360556992391745
152,AFG,1930,0.21498575775573694
153,AFG,1931,0.40910830597082715
154,AFG,1932,0.14602626531268456
155,AFG,1933,0.1692930965994793
156,AFG,1934,0.34088676748797314
157,AFG,1935,0.2645858036509407
158,AFG,1936,-0.28962382798393554
159,AFG,1937,-0.1650112637483595
160,AFG,1938,-0.2200757334940137
161,AFG,1939,-0.09602859864632292
162,AFG,1940,-0.2671467475593092
163,AFG,1941,-0.48685155746837344
164,AFG,1942,0.10861956949035333
165,AFG,1943,0.09089501132257272
166,AFG,1944,-0.4251405503600835
167,AFG,1945,0.038225134368986426
168,AFG,1946,-0.6145344100271656
169,AFG,1947,-0.5695962775498632
170,AFG,1948,-0.2867768372719483
171,AFG,1949,0.047235018263261215
172,AFG,1950,-0.24562773667275853
173,AFG,1951,-0.0832685648153228
174,AFG,1952,-0.009289791807532664
175,AFG,1953,0.24027628948291135
176,AFG,1954,0.2251104762156808
177,AFG,1955,-0.4953730925917627
178,AFG,1956,0.08730055888493872
179,AFG,1957,0.7899535211424037
180,AFG,1958,0.03951080019275377
181,AFG,1959,0.31507454812526786
182,AFG,1960,0.1582289099072416
183,AFG,1961,-0.07730830829435305
184,AFG,1962,0.0569651946425437
185,AFG,1963,0.003682258538901582
186,AFG,1964,0.1981516815721991
187,AFG,1965,0.32131135712067244
188,AFG,1966,-0.24552891876858948
189,AFG,1967,0.465481482446194
190,AFG,1968,0.16969086974859315
191,AFG,1969,0.5985231002171839
192,AFG,1970,-0.5997105613350873
193,AFG,1971,-0.7238266418377558
194,AFG,1972,0.8220906232794131
195,AFG,1973,-0.22816430404782226
196,AFG,1974,-0.08333335071802113
197,AFG,1975,-0.02897313373008119
198,AFG,1976,0.035455281535784304
199,AFG,1977,-0.20292791429286225
200,AFG,1978,-0.15380854279889428
201,AFG,1979,0.16477922101815531
202,AFG,1980,0.06706332539518778
203,AFG,1981,0.5356919681653384
204,AFG,1982,0.5895580587287741
205,AFG,1983,-0.01825946072737443
206,AFG,1984,-0.06854893111934256
207,AFG,1985,-0.3893008592228088
208,AFG,1986,0.1744230824212238
209,AFG,1987,0.03118803755690634
210,AFG,1988,-0.04545135547717331
211,AFG,1989,0.2119664254908762
212,AFG,1990,0.12503589813907862
213,AFG,1991,0.63212160486728
214,AFG,1992,0.8422289127483964
215,AFG,1993,0.2584321573376655
216,AFG,1994,0.3814012788546585
217,AFG,1995,-0.14012210288395457
218,AFG,1996,0.08238543523475556
219,AFG,1997,0.04427351802587559
220,AFG,1998,0.1805539719449972
221,AFG,1999,-0.179393758997321
222,AFG,2000,-0.36138258750239965
223,AFG,2001,-0.5368569353595377
224,AFG,2002,-0.23032076656818365
225,AFG,2003,0.17821175108353263
226,AFG,2004,-0.09015542889634814
227,AFG,2005,0.03018143773078859
228,AFG,2006,-0.06300438009202453
229,AFG,2007,-0.1444961826006573
230,AFG,2008,-0.3803242643674216
231,AFG,2009,0.06377721608926859
232,AFG,2010,-0.10155306259791048
233,AFG,2011,-0.2051804450651011
234,AFG,2012,0.1598235312849283
235,AFG,2013,0.040683960852523064
236,AFG,2014,-0.26982639233271344
