,ISO3,year,temp_mean,precip_total,humidity_mean
0,ABW,1948,25.715091959635345,126.17038198095547,17.962705294291183
1,ABW,1949,25.719687398274857,113.17351696834518,17.755922953287754
2,ABW,1950,25.491049702962243,122.50991187920586,17.723950703938797
3,ABW,1951,25.91863149007162,117.3453559240443,18.071283658345543
4,ABW,1952,26.073729451497286,147.2332820512618,18.300869623819974
5,ABW,1953,26.035447692871287,146.09906067925203,18.446423689524334
6,ABW,1954,25.636173502604322,139.9659017697559,18.03034194310505
7,ABW,1955,25.63322855631509,142.7393665180565,18.088130156199124
8,ABW,1956,25.587668355305993,172.52163477768053,18.14538653691611
9,ABW,1957,25.90088043212893,177.76296809410206,18.29053751627605
10,ABW,1958,26.64079182942703,246.5512403036485,19.277643044789652
11,ABW,1959,26.220714823405046,205.67336460472552,18.63678232828777
12,ABW,1960,26.419224039713583,205.63501715419812,18.831178029378254
13,ABW,1961,26.12874755859383,221.5416122734682,18.441756089528408
14,ABW,1962,26.154415384928427,175.95317173160257,18.475362618764233
15,ABW,1963,26.192041015624966,193.96009526097265,18.637810707092292
16,ABW,1964,25.831417338053427,158.2134338418582,18.242963631947852
17,ABW,1965,25.66303405761721,167.7935740214984,18.17619943618776
18,ABW,1966,26.00856424967452,186.60648576174623,18.430526415507003
19,ABW,1967,25.811545308430993,197.23483027152014,18.22320588429768
20,ABW,1968,25.866662597656443,209.9720056594147,18.395288944244385
21,ABW,1969,26.722907002766874,201.28224308878566,19.24799378712972
22,ABW,1970,26.375901794433673,191.20395473326195,18.832377910614017
23,ABW,1971,25.838454182942826,148.41314218209823,18.042093594868984
24,ABW,1972,26.187117513020894,178.1824000472472,18.48413022359213
25,ABW,1973,26.362283325195392,187.18955449726877,18.67937660217284
26,ABW,1974,25.82148132324221,185.83712558570878,18.28418175379436
27,ABW,1975,25.667835489908782,163.926869598052,18.177392641703292
28,ABW,1976,25.57443644205739,177.5166444985917,18.168943723042823
29,ABW,1977,26.14012044270828,156.09769393039608,18.608782768249505
30,ABW,1978,26.170327758789142,164.89537714548632,18.69025246302286
31,ABW,1979,26.205855305989587,202.7367158584098,18.86979532241821
32,ABW,1980,26.38285217285147,168.66932141005566,18.75726985931395
33,ABW,1981,26.383665974934956,175.09587736273542,18.91480652491253
34,ABW,1982,25.969275410970056,167.21809128008363,18.51927677790324
35,ABW,1983,26.332325236002703,154.8884249451551,18.9734361966451
36,ABW,1984,25.96296335856124,163.46479434420985,18.38030052185059
37,ABW,1985,25.86398213704439,195.16670179105498,18.301412582397486
38,ABW,1986,25.866703287760572,190.55901203133,18.38920974731445
39,ABW,1987,26.705852762858058,164.85305103784933,19.184217929840084
40,ABW,1988,26.288997904459563,173.28342205560742,18.75052118301392
41,ABW,1989,25.90023701985689,146.75283997257313,18.21435260772705
42,ABW,1990,26.155666605631552,147.77002266827503,18.465572675069176
43,ABW,1991,25.925653076171784,154.9683788434711,18.385310331980392
44,ABW,1992,26.208067830403877,142.83144801065038,18.537386735280347
45,ABW,1993,26.243483479817655,138.108656904933,18.578647931416835
46,ABW,1994,26.01721852620443,126.53454141830484,18.318772633870445
47,ABW,1995,26.503635660807447,179.22716116409333,18.873040517171233
48,ABW,1996,26.143724060058673,184.93903938764805,18.573281288146976
49,ABW,1997,26.172021484374966,135.6214342795074,18.689229965209957
50,ABW,1998,26.61281229654952,184.93413350093292,19.159435272216786
51,ABW,1999,26.06041107177731,163.7033194710767,18.414778391520183
52,ABW,2000,25.826468404134005,160.5471838065447,18.13254833221436
53,ABW,2001,26.0104970296224,153.74105679060295,18.259886582692463
54,ABW,2002,26.154616292317655,156.02324816244953,18.587836901346844
55,ABW,2003,26.389126078287802,168.65148026927133,18.716327190399166
56,ABW,2004,26.237911478678484,174.4487285504821,18.782266934712716
57,ABW,2005,26.741599019368607,167.06488210875725,19.285779794057216
58,ABW,2006,26.427621459961074,179.12697898553003,18.97159481048585
59,ABW,2007,26.440769449869833,149.93420229802376,18.847265720367414
60,ABW,2008,26.151404317220056,139.92752409374876,18.441158135732007
61,ABW,2009,26.37998352050778,109.65723557910678,18.640204111735024
62,ABW,2010,26.957416788737078,154.14912240041974,19.413062731424976
63,ABW,2011,26.498918151855435,165.9617893055706,19.022078673044835
64,ABW,2012,26.334761555989587,138.0486372981977,18.789226214090984
65,ABW,2013,26.53966420491554,127.23761535742685,18.81778717041016
66,ABW,2014,26.38496042887374,92.25822039093075,18.571728388468404
67,ABW,2015,26.65467987060555,87.41280784852279,18.719146728515625
68,ABW,2016,26.788028971354322,173.09294381559866,19.38953177134195
69,ABW,2017,26.812519327799635,157.7663016196274,19.31702756881713
70,ABW,2018,26.310873921712357,133.10903369256263,18.582032521565747
71,ABW,2019,26.601050313313806,110.83385217397823,18.963812987009685
72,ABW,2020,26.806812540690032,140.30743000238797,19.20960426330566
73,ABW,2021,26.627847290039085,136.80793684211932,18.831664403279607
74,ABW,2022,26.80542399088546,144.15964447742468,18.999991734822608
75,ABW,2023,27.14473368326827,95.99962039465028,19.398100694020595
76,ABW,2024,27.104724121093852,45.18862028453443,19.054272842407237
77,AFG,1948,9.293814595540255,67.5487968558173,4.874114274978638
78,AFG,1949,9.67826741536453,78.45536896002157,5.2743350466092425
79,AFG,1950,9.484203592936126,71.11229734255176,5.09967396656672
80,AFG,1951,10.245566304524743,93.98311023596762,5.852640628814697
81,AFG,1952,11.157914733886571,86.0086432985554,6.136132935682933
82,AFG,1953,10.782645161946732,101.63755035046054,6.295787433783214
83,AFG,1954,10.041942850748683,69.23170756363109,5.637181202570596
84,AFG,1955,10.125418599446618,48.486970047406416,5.238598585128784
85,AFG,1956,10.746697998046727,53.66326209741601,5.336894353230794
86,AFG,1957,8.866421000162802,66.16653177547961,5.081387917200726
87,AFG,1958,10.824416097005326,59.25618539004062,5.54212071498235
88,AFG,1959,10.079815165201921,54.4094269928337,5.545021831989288
89,AFG,1960,9.324479675292935,56.59874599314206,5.165624499320984
90,AFG,1961,8.994159952799748,54.66259070567504,5.156787991523743
91,AFG,1962,8.243020629882892,56.04888473590107,5.215345203876497
92,AFG,1963,10.001690165201865,56.29140256201025,5.599765857060749
93,AFG,1964,8.811563110351642,86.20653574052996,5.456436415513355
94,AFG,1965,10.0857762654623,104.64616045101137,5.980128904183705
95,AFG,1966,10.451600646972679,138.3867443269016,6.678965191046395
96,AFG,1967,8.588993326822845,70.56701960027564,5.328963100910187
97,AFG,1968,9.18293151855454,73.09483686731258,5.1509819229443865
98,AFG,1969,9.77668406168624,76.23609861548172,5.5555593371391305
99,AFG,1970,9.470447794596453,53.41882186701245,5.185390412807465
100,AFG,1971,8.916604614257892,48.05246375372008,5.141748567422232
101,AFG,1972,6.263607279459677,68.00689185911325,4.965501050154368
102,AFG,1973,8.228514607747286,62.41873189060243,5.2004348039627075
103,AFG,1974,6.845183308919275,50.98633175725807,4.669690231482187
104,AFG,1975,7.393576558430993,53.58315943703928,4.966287275155385
105,AFG,1976,7.502453104654876,49.62317180979879,5.258174419403077
106,AFG,1977,9.18897908528669,53.29606114173656,5.536426802476247
107,AFG,1978,9.090015665690032,42.77485450165841,5.302027980486552
108,AFG,1979,8.51540018717452,51.16534762464651,5.246703267097473
109,AFG,1980,9.062768554687466,51.20666200082266,5.367500881354014
110,AFG,1981,8.865088399251192,54.673942284807694,5.523907462755841
111,AFG,1982,8.152406311035179,62.12708130169628,5.378065844376883
112,AFG,1983,8.336269632975302,49.63192848049401,5.44944041967392
113,AFG,1984,8.191740926106718,50.91777178859044,5.342007537682851
114,AFG,1985,8.953274027506552,43.3019051433803,5.31230115890503
115,AFG,1986,8.397581990560013,52.31987194429165,5.209549864133199
116,AFG,1987,8.914832051595113,51.152176990399305,5.4066723585128775
117,AFG,1988,9.190227762858115,50.217280458582515,5.48703654607137
118,AFG,1989,7.863595581054824,51.26365786600221,4.991939624150594
119,AFG,1990,9.239528910318938,62.10296187873608,5.521901369094851
120,AFG,1991,8.762834167480435,81.49019992515602,5.580434203147888
121,AFG,1992,8.373445129394383,67.29201022017152,5.4036421179771414
122,AFG,1993,8.326811726888195,56.55975414765635,5.253344019254047
123,AFG,1994,8.353295898437466,61.66288468830318,5.309268673261006
