,ISO3,year,temp_humidity_index
14237,RWA,2017,19.38044141728601
14238,RWA,2018,19.45020233736533
14239,RWA,2019,20.040662775430885
14240,RWA,2020,19.656660946043218
14241,RWA,2021,19.64224949521813
14242,RWA,2022,19.20966622799726
14243,RWA,2023,19.726917515742045
14244,RWA,2024,20.164758648685766
14245,SAU,1948,22.11271952071666
14246,SAU,1949,22.484492009403628
14247,SAU,1950,23.229702606446292
14248,SAU,1951,24.008473643011953
14249,SAU,1952,23.88580717785054
14250,SAU,1953,23.964778816675853
14251,SAU,1954,23.87697352570346
14252,SAU,1955,23.508172160267968
14253,SAU,1956,23.036431125113666
14254,SAU,1957,23.247770934414813
14255,SAU,1958,24.119040503010442
14256,SAU,1959,24.028449576040618
14257,SAU,1960,24.751681959317793
14258,SAU,1961,23.724529914882226
14259,SAU,1962,23.841402585850783
14260,SAU,1963,23.918766809853896
14261,SAU,1964,22.854112514400434
14262,SAU,1965,23.806616055561534
14263,SAU,1966,23.90765757055766
14264,SAU,1967,22.66921508490207
14265,SAU,1968,22.578886377904727
14266,SAU,1969,23.765037208093094
14267,SAU,1970,22.883978149230913
14268,SAU,1971,21.85384172251469
14269,SAU,1972,22.45540028096769
14270,SAU,1973,23.04188510901152
14271,SAU,1974,22.904053610296554
14272,SAU,1975,22.868275527205014
14273,SAU,1976,23.35581120256845
14274,SAU,1977,23.4431816271839
14275,SAU,1978,23.157494812934093
14276,SAU,1979,23.57107920517283
14277,SAU,1980,23.421083109442954
14278,SAU,1981,23.238615129673168
14279,SAU,1982,22.698839612310735
14280,SAU,1983,22.535762531575383
14281,SAU,1984,23.158781960702033
14282,SAU,1985,23.60638112271098
14283,SAU,1986,23.56093865952094
14284,SAU,1987,23.857026186499155
14285,SAU,1988,23.69552218783213
14286,SAU,1989,22.726598242315546
14287,SAU,1990,23.559630819137862
14288,SAU,1991,23.895154531720788
14289,SAU,1992,22.205729276432315
14290,SAU,1993,23.102366698653757
14291,SAU,1994,23.201503147689323
14292,SAU,1995,23.146725614311585
14293,SAU,1996,23.694006224947575
14294,SAU,1997,23.453026593965976
14295,SAU,1998,24.452306337578406
14296,SAU,1999,24.154193467147902
14297,SAU,2000,23.763810643548812
14298,SAU,2001,23.580028499539747
14299,SAU,2002,23.62671938974339
14300,SAU,2003,24.05962803160959
14301,SAU,2004,23.722507119768686
14302,SAU,2005,23.82741992021855
14303,SAU,2006,23.985956236963844
14304,SAU,2007,23.914478295425425
14305,SAU,2008,23.36100988262694
14306,SAU,2009,23.948110107498994
14307,SAU,2010,24.53542308077611
14308,SAU,2011,23.506511867766278
14309,SAU,2012,23.981575764611318
14310,SAU,2013,23.76745515844744
14311,SAU,2014,23.947232955489554
14312,SAU,2015,24.55886163928953
14313,SAU,2016,24.351908011356898
14314,SAU,2017,24.54792407146599
14315,SAU,2018,24.812312940303393
14316,SAU,2019,24.660029029912817
14317,SAU,2020,24.287436428911732
14318,SAU,2021,24.7760966931349
14319,SAU,2022,24.879287508209696
14320,SAU,2023,25.36457305798508
14321,SAU,2024,25.45176315600639
14322,SDN,1948,26.15108874391424
14323,SDN,1949,26.15405685350211
14324,SDN,1950,26.05687861071841
14325,SDN,1951,26.930729552908193
14326,SDN,1952,26.51336454771326
14327,SDN,1953,26.708766299582578
14328,SDN,1954,26.87896132368408
14329,SDN,1955,26.999689881907102
14330,SDN,1956,26.649588746164564
14331,SDN,1957,25.938158726245675
14332,SDN,1958,26.412600516600392
14333,SDN,1959,25.773262514259557
14334,SDN,1960,26.50807719601249
14335,SDN,1961,25.298734374692764
14336,SDN,1962,26.44780305525606
14337,SDN,1963,25.476422538334457
14338,SDN,1964,24.609883848498193
14339,SDN,1965,24.988722841612162
14340,SDN,1966,26.34698351300947
14341,SDN,1967,25.764651616790694
14342,SDN,1968,26.095701702842245
14343,SDN,1969,27.279326465656258
14344,SDN,1970,26.240768510732714
14345,SDN,1971,26.082606347238396
14346,SDN,1972,26.56422301400161
14347,SDN,1973,26.879251769186382
14348,SDN,1974,25.959131201189052
14349,SDN,1975,26.297575049871618
14350,SDN,1976,26.6812436661385
14351,SDN,1977,26.05626179566128
14352,SDN,1978,26.651944268347986
14353,SDN,1979,26.973952982864827
14354,SDN,1980,27.396878119221068
14355,SDN,1981,26.711941016126605
14356,SDN,1982,26.5321687790696
14357,SDN,1983,26.379057427461884
14358,SDN,1984,26.858671417862265
14359,SDN,1985,26.75414525986837
14360,SDN,1986,26.60743591176134
14361,SDN,1987,27.34396662486334
14362,SDN,1988,27.140870504309042
14363,SDN,1989,26.33347940133915
14364,SDN,1990,27.430889029826297
14365,SDN,1991,27.348092442535364
14366,SDN,1992,26.197095445419624
14367,SDN,1993,26.656964051991505
14368,SDN,1994,26.01016358912845
14369,SDN,1995,26.902411332244785
14370,SDN,1996,26.752644903787914
14371,SDN,1997,26.400042327380913
14372,SDN,1998,27.085479435195605
14373,SDN,1999,27.050154741068873
14374,SDN,2000,26.60367597813053
14375,SDN,2001,26.712722006189107
14376,SDN,2002,26.90384139122863
14377,SDN,2003,27.050506583917496
14378,SDN,2004,26.99324285071579
14379,SDN,2005,27.566642070235567
14380,SDN,2006,27.147585278732187
14381,SDN,2007,27.26010150740676
14382,SDN,2008,27.828014473044725
14383,SDN,2009,27.78671079175357
14384,SDN,2010,28.593987345246923
14385,SDN,2011,26.83742667838559
14386,SDN,2012,27.083364558847542
14387,SDN,2013,27.601999374128503
14388,SDN,2014,27.39753649315924
14389,SDN,2015,27.199237223157606
14390,SDN,2016,28.008995222092906
14391,SDN,2017,27.919091599748057
14392,SDN,2018,28.306929231237024
14393,SDN,2019,28.728587649094642
14394,SDN,2020,28.228938743035183
14395,SDN,2021,29.066381518352813
14396,SDN,2022,27.965916084384652
14397,SDN,2023,28.482984104149736
14398,SDN,2024,27.698755351219553
14399,SEN,1948,28.48378487025142
14400,SEN,1949,28.30199629168298
14401,SEN,1950,27.74498652979723
